Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AZIN11,N/A,"100,33","612.339,74",N/A,"1,50","1,53 %","4,71 %","9,48 %","9,48 %","1,57 %","1,58 %","0,79 %","9,48 %","3,10 %","4,68 %","33,28 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"13,28",0,N/A,"1,25 % a.a","20,00 % a.a"
AZPE11,Papéis,N/A,N/A,N/A,"0,21","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.116.740,48",N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,N/A
AZPL11,Serviços Financeiros Diversos,"7,57","872.062,48","0,79","0,08","1,06 %","3,52 %","7,55 %","14,05 %","1,17 %","1,26 %","1,17 %","10,52 %","2,44 %","3,53 %","29,95 %","176.932.625,82",N/A,N/A,N/A,N/A,N/A,N/A,1,"32,20",6.591,N/A,"1,10 % a.a",N/A
BARI11,Papéis,"79,20","896.491,00","0,89","0,95","0,00 %","2,60 %","6,69 %","14,24 %","0,87 %","1,12 %","1,19 %","9,77 %","0,00 %","0,00 %",N/A,"410.276.059,88","88,53","0,89","1,19 %","-7,16 %","-6,06 %","-1,81 %",2,"19,53",31.744,"1,11 % a.a","0,20 % a.a","20,00 % a.a"
BBFI11B,Lajes Corporativas,"1.257,10","182.918,19","0,41","634,23","47,51 %","0,00 %","47,51 %","69,77 %","0,00 %","7,92 %","5,81 %","69,77 %","4,22 %","53,73 %","119,39 %","111.645.834,19","864,77","1,45","73,34 %","-60,09 %","-30,81 %","-43,61 %",1,"43,40",6.989,N/A,"3,50 % a.a",N/A
BBFO11,Fundo de Fundos,"62,19","139.620,87","0,86","0,76","1,20 %","3,61 %","7,06 %","13,62 %","1,20 %","1,18 %","1,14 %","9,57 %","-1,17 %","0,01 %","19,36 %","290.643.427,56","72,59","0,86","1,07 %","-11,18 %","-10,23 %","-5,96 %",14,"15,54",6.963,N/A,"0,50 % a.a",N/A
BBGO11,Indefinido,"64,96","138.596,74","0,69","0,90","1,35 %","4,12 %","8,04 %","16,10 %","1,37 %","1,34 %","1,34 %","13,47 %","-2,82 %","-1,51 %","7,39 %","376.205.273,02","93,93","0,69","1,01 %","-4,09 %","-3,12 %","4,73 %",0,"19,98",11.750,N/A,"0,85 % a.a","10,00 % a.a"
BBIG11,Serviços Financeiros Diversos,"7,00","652.312,39","0,75","0,08","1,14 %","3,31 %","6,92 %","13,76 %","1,10 %","1,15 %","1,15 %","9,49 %","-5,01 %","-3,92 %","17,60 %","923.684.712,61",N/A,N/A,N/A,N/A,N/A,N/A,3,"22,51",31.784,N/A,"0,80 % a.a",N/A
BBIM11,Papéis,N/A,N/A,N/A,"0,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"667,50",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,N/A,20,N/A,N/A,N/A
BBRC11,Agências de Bancos,"98,58","61.814,57","0,95","1,05","1,07 %","3,06 %","6,34 %","12,93 %","1,02 %","1,06 %","1,08 %","8,66 %","-2,13 %","-1,08 %","5,32 %","166.087.534,33","104,46","0,94","0,96 %","-2,97 %","-2,04 %","9,10 %",21,"18,17",8.954,N/A,"0,60 % a.a",N/A
BCIA11,Fundo de Fundos,"81,00","227.989,83","0,84","0,84","0,98 %","2,94 %","6,00 %","12,29 %","0,98 %","1,00 %","1,02 %","8,28 %","-1,69 %","-0,73 %","18,08 %","362.556.988,30","97,49","0,83","0,86 %","-2,76 %","-1,93 %","2,50 %",14,"17,96",22.044,N/A,"0,50 % a.a","20,00 % a.a"
BCRI11,Papéis,"64,19","234.265,83","0,77","0,91","1,40 %","3,97 %","7,62 %","15,83 %","1,32 %","1,27 %","1,32 %","10,52 %","-2,17 %","-0,80 %","25,39 %","521.396.300,60","83,32","0,77","1,02 %","-17,43 %","-16,59 %","-10,35 %",14,"16,77",43.136,N/A,"1,00 % a.a",N/A
BDIF11,Indefinido,"72,41","1.386.606,09",N/A,"0,90","1,23 %","3,46 %","7,63 %","15,21 %","1,15 %","1,27 %","1,27 %","10,48 %","-4,47 %","-3,30 %","17,60 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,09",0,N/A,"0,75 % a.a","20,00 % a.a"
BDIV11,Indefinido,"39,25","240.128,61",N/A,"1,60","3,97 %","8,30 %","13,05 %","234,87 %","2,77 %","2,18 %","19,57 %","13,05 %","9,23 %","13,57 %","14,93 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23,70",0,N/A,"1,10 % a.a",N/A
BETW11,Indefinido,N/A,N/A,N/A,"0,49","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"263.673.514,23",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A
BICE11,Fundo de Fundos,"900,00","3.732.975,00","0,84","4,66","0,00 %","0,40 %","1,93 %","6,14 %","0,40 %","0,32 %","0,51 %","3,61 %","0,00 %","0,00 %",N/A,"142.141.981,33","1.065,42","0,84","0,34 %","6,89 %","7,24 %","15,00 %",14,"42,99",119,N/A,N/A,N/A
BICR11,Papéis,"35,92","72,00","0,86","0,36","1,02 %","0,00 %","0,00 %","2,34 %","0,00 %","0,00 %","0,20 %","4,52 %","-10,54 %","-9,63 %","-26,97 %","20.805.910,51","42,51","0,84","0,85 %","-57,20 %","-56,84 %","-52,66 %",14,"34,43",641,N/A,N/A,N/A
BIDB11,Indefinido,"77,76","225.400,70",N/A,"1,10","1,42 %","4,06 %","9,03 %","17,32 %","1,35 %","1,51 %","1,44 %","12,15 %","-1,26 %","0,14 %","19,08 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,31",0,N/A,"0,80 % a.a",N/A
BIME11,Indefinido,"6,98","28.252,35","0,82","0,09","1,29 %","3,81 %","7,86 %","16,01 %","1,27 %","1,31 %","1,33 %","10,69 %","-2,64 %","-1,39 %","21,44 %","49.272.719,64","8,43","0,83","1,07 %","-6,64 %","-5,65 %","1,16 %",3,"17,60",8.483,N/A,"1,50 % a.a","20,00 % a.a"
BINC11,Papéis,"96,97","539.881,13",N/A,"1,18","1,28 %","1,28 %","4,76 %","9,14 %","0,43 %","0,79 %","1,31 %","7,19 %","1,16 %","2,45 %","13,56 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,86",0,N/A,"0,90 % a.a",N/A
BIPD11,Indefinido,"1.000,00","700.000,00","1,00","27,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"110.183.858,03",N/A,N/A,N/A,N/A,N/A,N/A,1,"11,36",111,N/A,N/A,N/A
BLCA11,Indefinido,"98,00","342.645,35","0,72","0,85","0,92 %","2,02 %","3,72 %","6,97 %","0,67 %","0,62 %","0,58 %","4,87 %","2,02 %","2,96 %","5,65 %","205.465.140,46","128,42","0,76","0,39 %","-10,58 %","-10,24 %","26,92 %",1,"68,98",466,N/A,"1,15 % a.a","20,00 % a.a"
BLCP11,Imóveis Industriais e Logísticos,"91,00","103.127,50","1,43","0,56","0,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,26 %","0,00 %","0,00 %",N/A,"118.155.565,38","111,74","0,81","0,50 %","-0,02 %","0,49 %","15,81 %",14,"0,87",8.102,N/A,N/A,N/A
BLMC11,Papéis,"85,75","150.671,33","1,34","5,34","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,74 %","0,00 %","0,00 %",N/A,"118.155.565,38","94,69","0,91","1,13 %","-1,48 %","-0,36 %","2,88 %",14,"3,23",8.102,N/A,N/A,N/A
BLMG11,Imóveis Industriais e Logísticos,"31,70","227.496,87","0,45","0,36","1,07 %","2,85 %","6,34 %","17,33 %","0,95 %","1,06 %","1,44 %","11,41 %","-13,58 %","-12,66 %","22,20 %","330.785.007,13","70,76","0,45","0,49 %","-26,25 %","-25,88 %","-22,68 %",2,"28,20",12.836,N/A,"0,95 % a.a","20,00 % a.a"
BLMO11,Lajes Corporativas,"83,99","80.158,73","0,80","0,53","0,63 %","2,04 %","3,97 %","7,72 %","0,68 %","0,66 %","0,64 %","5,17 %","-1,18 %","-0,55 %","26,69 %","104.248.546,24","104,79","0,80","0,55 %","-99,65 %","-99,64 %","-99,59 %",1,"41,85",328,N/A,"1,00 % a.a","15,00 % a.a"
BLMR11,Fundo de Fundos,"6,78","1.157.702,33","0,11","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","7,61","0,89","0,70 %","-1,68 %","-0,99 %","1,82 %",14,"3,49",8.102,N/A,"1,00 % a.a","20,00 % a.a"
BLOG11,Misto,"10,08","30,13","0,90","0,02","0,20 %","1,21 %","2,09 %","4,78 %","0,40 %","0,35 %","0,40 %","2,76 %","-7,15 %","-6,96 %","-8,04 %","346.922.775,80",N/A,N/A,N/A,N/A,N/A,N/A,6,"76,27",92,N/A,N/A,N/A
BLUR11,Papéis,"76,03","228,00","1,00","74,29","0,00 %","1,55 %","4,01 %","7,66 %","0,52 %","0,67 %","0,64 %","4,01 %","0,00 %","0,00 %",N/A,"6.851.720,42",N/A,N/A,N/A,N/A,N/A,N/A,14,"96,21",1,N/A,N/A,N/A
BMLC11,Lajes Corporativas,"96,99","157.148,73","0,92","0,69","0,71 %","2,16 %","4,34 %","8,91 %","0,72 %","0,72 %","0,74 %","5,84 %","-0,02 %","0,69 %","10,55 %","105.628.332,89","105,80","0,92","0,66 %","-6,76 %","-6,14 %","2,48 %",1,"990,36",1.290,"0,20 % a.a","0,20 % a.a",N/A
BNFS11,Agências de Bancos,"70,73","63.104,96","0,90","1,00","1,36 %","3,97 %","8,21 %","16,28 %","1,32 %","1,37 %","1,36 %","10,76 %","-3,55 %","-2,24 %","-7,97 %","54.869.484,53","78,38","0,90","1,28 %","-14,25 %","-13,15 %","-7,52 %",18,"19,82",5.951,N/A,"0,30 % a.a",N/A
BODB11,Indefinido,"7,30","1.217.992,65",N/A,"0,10","1,35 %","3,02 %","6,26 %","12,88 %","1,01 %","1,04 %","1,07 %","12,05 %","3,35 %","4,74 %","15,53 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,71",0,N/A,"0,90 % a.a","20,00 % a.a"
BPFF11,Fundo de Fundos,"54,53","286.064,52","0,78","0,70","1,26 %","3,62 %","6,93 %","13,45 %","1,21 %","1,16 %","1,12 %","9,28 %","-6,87 %","-5,69 %","10,80 %","314.197.241,89","69,94","0,78","1,00 %","-4,83 %","-3,88 %","-1,05 %",14,"17,52",20.325,N/A,"0,40 % a.a","20,00 % a.a"
BPLC11,Misto,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"324.215.630,98",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,129,N/A,N/A,N/A
BPML11,Shoppings,"77,37","718.972,39","0,61","0,92","1,16 %","3,65 %","7,40 %","16,38 %","1,22 %","1,23 %","1,37 %","13,34 %","-1,19 %","-0,04 %","43,36 %","939.187.214,73","126,21","0,61","0,84 %","1,17 %","2,02 %","2,98 %",11,"18,88",5.835,N/A,"1,00 % a.a",N/A
BPRP11,Imóveis Industriais e Logísticos,"107,50","2.150,00","0,86","0,93","0,00 %","0,00 %","0,00 %","0,86 %","0,00 %","0,00 %","0,86 %","4,54 %","0,00 %","0,00 %",N/A,"169.496.975,27",N/A,N/A,N/A,N/A,N/A,N/A,15,"3,70",171,N/A,N/A,N/A
BRCO11,Imóveis Industriais e Logísticos,"109,52","1.634.847,48","0,92","0,87","0,79 %","2,54 %","5,05 %","10,34 %","0,85 %","0,84 %","0,86 %","6,90 %","-0,54 %","0,24 %","24,16 %","1.873.877.235,23","117,82","0,93","0,89 %","-3,01 %","-2,15 %","6,48 %",12,"14,78",121.554,"1,00 % a.a",N/A,"20,00 % a.a"
BRCR11,Lajes Corporativas,"40,58","567.641,52","0,48","0,41","0,99 %","2,84 %","6,23 %","13,72 %","0,95 %","1,04 %","1,14 %","8,81 %","-4,09 %","-3,14 %","19,55 %","2.264.212.740,68","85,00","0,48","0,48 %","-15,05 %","-14,64 %","-15,88 %",6,"13,72",123.217,"1,50 % a.a","0,25 % a.a",N/A
BREV11,Lajes Corporativas,"105,00","532.138,00","1,65","0,58","0,55 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","10,03 %","0,32 %","0,87 %","22,08 %","118.155.565,38",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",1,"0,34",8.102,N/A,N/A,N/A
BRFT11,Misto,"85,19","40.135,70",N/A,"1,48","1,78 %","5,01 %","9,70 %","19,34 %","1,67 %","1,62 %","1,61 %","14,59 %","1,72 %","3,53 %","31,51 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"46,49",0,N/A,N/A,N/A
BRIM11,Fundo de Desenvolvimento,"502,50","11.557,70","1,38","80,56","14,66 %","14,66 %","36,63 %","78,29 %","4,89 %","6,11 %","6,52 %","59,43 %","7,05 %","22,74 %","29,89 %","45.906.376,13",N/A,N/A,N/A,N/A,N/A,N/A,2,"106,67",685,N/A,"1,70 % a.a",N/A
BRIP11,Fundo de Desenvolvimento,"710,50","3.459,90","1,11","46,41","6,49 %","22,23 %","34,51 %","62,23 %","7,41 %","5,75 %","5,19 %","43,42 %","-3,16 %","3,13 %","51,59 %","137.962.795,11",N/A,N/A,N/A,N/A,N/A,N/A,10,"126,55",435,N/A,"2,00 % a.a",N/A
BRIX11,Indefinido,"1.673,35","195.781,00","1,60","180,14","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"124.008.928,61",N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,103,N/A,N/A,N/A
BRLA11,Imóveis Industriais e Logísticos,"148,00","21.194,28","0,84","1,15","0,78 %","2,38 %","3,11 %","4,64 %","0,79 %","0,52 %","0,39 %","4,64 %","4,99 %","5,81 %","5,06 %","815.145.198,38","166,46","0,89","0,69 %","5,36 %","6,09 %","-2,26 %",8,"76,52",435,N/A,N/A,N/A
BROF11,Lajes Corporativas,"53,66","334.920,52","0,50","0,42","0,76 %","3,07 %","6,74 %","13,57 %","1,02 %","1,12 %","1,13 %","9,22 %","3,31 %","4,09 %","53,33 %","1.256.326.727,66",N/A,N/A,N/A,N/A,N/A,N/A,2,"23,49",10.001,"0,45 % a.a","0,15 % a.a",N/A
BRZP11,N/A,"140,98","796.427,30",N/A,"0,92","0,66 %","1,79 %","3,64 %","7,86 %","0,60 %","0,61 %","0,66 %","5,13 %","-4,66 %","-4,03 %","64,43 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"22,87",0,"1,50 % a.a","0,12 % a.a",N/A
BTAG11,Indefinido,"95,65","39.607,74",N/A,"1,30","1,37 %","4,06 %","8,01 %","712,25 %","1,35 %","1,34 %","59,35 %","678,72 %","-2,62 %","-1,29 %","1.258,16 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"31,13",0,"1,00 % a.a","0,15 % a.a","10,00 % a.a"
BTAL11,Imóveis Industriais e Logísticos,"76,07","419.010,30","0,68","0,90","1,15 %","3,31 %","6,76 %","14,41 %","1,10 %","1,13 %","1,20 %","9,29 %","-7,04 %","-5,97 %","40,58 %","673.183.103,37","112,52","0,68","0,80 %","7,10 %","7,96 %","17,04 %",9,"16,60",39.264,N/A,"1,10 % a.a",N/A
BTCI11,Papéis,"9,18","1.118.428,96","0,91","0,10","1,09 %","3,26 %","6,54 %","13,12 %","1,09 %","1,09 %","1,09 %","8,79 %","-0,97 %","0,11 %","31,54 %","999.013.277,79",N/A,N/A,N/A,N/A,N/A,N/A,14,"16,23",191.444,N/A,"0,95 % a.a",N/A
BTCR11,Papéis,"88,00","571.148,00","1,38","0,90","0,98 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,53 %","-5,96 %","-5,04 %","14,54 %","118.155.565,38","95,27","0,92","0,94 %","0,64 %","1,59 %","4,62 %",14,"32,78",8.102,N/A,"1,00 % a.a",N/A
BTHF11,Papéis,"8,14","2.091.304,09","0,81","0,09","1,12 %","3,22 %","6,84 %","10,93 %","1,07 %","1,14 %","1,21 %","9,66 %","-6,36 %","-5,31 %","19,02 %","2.081.493.718,95",N/A,N/A,N/A,N/A,N/A,N/A,0,"17,10",321.729,N/A,"1,10 % a.a",N/A
BTHI11,Hotéis,"41,97","15.066,43","0,61","0,41","0,95 %","3,17 %","5,66 %","11,50 %","1,06 %","0,94 %","0,96 %","7,69 %","2,31 %","3,28 %","12,73 %","633.626.128,16",N/A,N/A,N/A,N/A,N/A,N/A,14,"33,52",1.420,N/A,"0,80 % a.a","20,00 % a.a"
BTLG11,Imóveis Industriais e Logísticos,"98,98","4.916.953,70","0,95","0,78","0,79 %","2,34 %","4,77 %","10,05 %","0,78 %","0,80 %","0,84 %","6,59 %","-2,41 %","-1,64 %","21,31 %","4.612.541.737,89","103,71","0,95","0,75 %","5,00 %","5,79 %","11,25 %",21,"14,18",396.300,N/A,"0,90 % a.a",N/A
BTML11,Lajes Corporativas,"101,37",N/A,"0,80","0,89","0,00 %","0,00 %","2,57 %","7,03 %","0,00 %","0,43 %","0,59 %","4,59 %","0,00 %","0,00 %",N/A,"144.707.018,00",N/A,N/A,N/A,N/A,N/A,N/A,2,"2,27",1,N/A,N/A,N/A
BTRA11,Indefinido,"50,58","96.176,57","0,45","0,83","1,56 %","2,99 %","4,73 %","9,47 %","1,00 %","0,79 %","0,79 %","5,68 %","-3,35 %","-1,84 %","41,87 %","373.254.978,90","110,94","0,46","0,75 %","-20,01 %","-19,42 %","14,74 %",6,"26,17",12.561,N/A,"1,20 % a.a","20,00 % a.a"
BTSG11,Imóveis Industriais e Logísticos,"158,10","27,65","1,04","1,00","0,00 %","0,00 %","1,80 %","4,78 %","0,00 %","0,30 %","0,40 %","3,00 %","0,00 %","0,00 %",N/A,"117.868.181,76","152,09","1,04","0,62 %","10,49 %","11,18 %","22,45 %",1,"16,02",107,N/A,N/A,N/A
BTSI11,Misto,"109,59","110,00","0,94","0,78","0,00 %","0,70 %","2,81 %","6,24 %","0,70 %","0,47 %","0,52 %","3,51 %","0,00 %","0,00 %",N/A,"675.582.022,67",N/A,N/A,N/A,N/A,N/A,N/A,5,"24,32",199,N/A,N/A,N/A
BTWR11,Fundo de Desenvolvimento,"105,49","15,85","0,89","0,60","0,00 %","0,00 %","1,67 %","4,45 %","0,00 %","0,28 %","0,37 %","2,72 %","0,00 %","0,00 %",N/A,"95.847.412,44","118,44","0,89","0,55 %","5,74 %","6,32 %","14,88 %",1,"33,45",140,N/A,N/A,N/A
BTYU11,Incorporações,"9,80","1.279,70","0,97","0,11","1,07 %","3,42 %","7,58 %","15,82 %","1,14 %","1,26 %","1,32 %","10,04 %","-3,92 %","-2,89 %","7,95 %","303.135.711,52",N/A,N/A,N/A,N/A,N/A,N/A,14,"65,69",459,N/A,"1,25 % a.a","20,00 % a.a"
BZEL11,Misto,N/A,N/A,N/A,"5,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"514.334.784,40",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,3,N/A,N/A,N/A
