FII;Data Com;Data Pagamento;Tipo;Valor
IRIM11;10-01-24;17-01-24;Dividendos;0.74
IRDM11;10-01-24;17-01-24;Dividendos;0.70
RBRR11;10-01-24;17-01-24;Dividendos;0.68
RBRF11;10-01-24;17-01-24;Dividendos;0.55
GAME11;10-01-24;22-01-24;Dividendos;0.10
MCHF11;11-01-24;18-01-24;Dividendos;0.07
MGHT11;11-01-24;18-01-24;Dividendos;0.57
CPTR11;11-01-24;18-01-24;Dividendos;0.12
MCCI11;11-01-24;18-01-24;Dividendos;0.90
VGIA11;11-01-24;18-01-24;Dividendos;0.12
VGIR11;11-01-24;18-01-24;Dividendos;0.11
VGIP11;11-01-24;18-01-24;Dividendos;0.76
SHDP11B;11-01-24;19-01-24;Dividendos;5.11
CPTS11;11-01-24;18-01-24;Dividendos;0.07
VICA11;12-01-24;15-01-24;Dividendos;0.11
AZIN11;12-01-24;22-01-24;Dividendos;1.10
CIXM11;12-01-24;19-01-24;Dividendos;0.12
RZZR11;12-01-24;19-01-24;Dividendos;1.12
BRLA11;12-01-24;19-01-24;Dividendos;1.12
RCFF11;12-01-24;19-01-24;Dividendos;1.36
NAVT11;12-01-24;19-01-24;Dividendos;1.79
HCRI11;12-01-24;19-01-24;Dividendos;3.42
GCRI11;12-01-24;19-01-24;Dividendos;0.95
TRNT11;12-01-24;19-01-24;Dividendos;0.22
RZAK11;15-01-24;22-01-24;Dividendos;1.12
BDIF11;15-01-24;22-01-24;Dividendos;1.00
ALZM11;15-01-24;22-01-24;Dividendos;0.11
KOPA11;15-01-24;22-01-24;Dividendos;9.80
SNID11;15-01-24;25-01-24;Dividendos;1.15
JASC11;15-01-24;22-01-24;Dividendos;0.54
BTLG11;15-01-24;25-01-24;Dividendos;0.81
WTSP11B;15-01-24;22-01-24;Dividendos;1.15
SNME11;15-01-24;25-01-24;Dividendos;0.12
OURE11;15-01-24;22-01-24;Dividendos;0.80
SNCI11;15-01-24;25-01-24;Dividendos;1.00
SNAG11;15-01-24;25-01-24;Dividendos;0.11
SNEL11;15-01-24;25-01-24;Dividendos;1.55
RECX11;15-01-24;22-01-24;Dividendos;0.60
OUFF11;15-01-24;22-01-24;Dividendos;0.70
AFHI11;15-01-24;22-01-24;Dividendos;1.00
SNFF11;15-01-24;25-01-24;Dividendos;0.65
RBRX11;15-01-24;23-01-24;Dividendos;0.09
RZAT11;15-01-24;22-01-24;Dividendos;1.10
BLMC11;15-01-24;22-01-24;Dividendos;0.64
SIGR11;16-01-24;23-01-24;Dividendos;0.15
MCHY11;16-01-24;23-01-24;Dividendos;0.13
MCRE11;16-01-24;23-01-24;Dividendos;0.13
COPP11;16-01-24;23-01-24;Dividendos;0.75
RBOP11;16-01-24;31-01-24;Dividendos;21.79
DOVL11B;16-01-24;23-01-24;Dividendos;0.48
VVRI11;17-01-24;24-01-24;Dividendos;1.63
CPSH11;17-01-24;24-01-24;Dividendos;1.10
TJKB11;17-01-24;29-01-24;Dividendos;2.84
ERCR11;17-01-24;24-01-24;Amortização;4.10
NCRA11;17-01-24;24-01-24;Dividendos;0.10
VVCR11;17-01-24;24-01-24;Dividendos;0.31
BROF11;17-01-24;24-01-24;Dividendos;0.57
FTCA11;17-01-24;24-01-24;Dividendos;0.10
ICNE11;18-01-24;25-01-24;Dividendos;10.29
MMPD11;18-01-24;25-01-24;Dividendos;1.07
ICNE11;18-01-24;25-01-24;Amortização;1.79
XPIN11;18-01-24;25-01-24;Dividendos;0.61
APXM11;18-01-24;25-01-24;Dividendos;0.58
XPML11;18-01-24;25-01-24;Dividendos;0.92
ALZR11;18-01-24;25-01-24;Dividendos;0.80
BTAL11;18-01-24;25-01-24;Dividendos;0.65
EQIR11;18-01-24;25-01-24;Dividendos;0.10
CVPR11;18-01-24;25-01-24;Dividendos;0.90
FCFL11;18-01-24;25-01-24;Dividendos;0.83
EXES11;18-01-24;25-01-24;Dividendos;0.77
BPML11;18-01-24;25-01-24;Dividendos;0.87
MORC11;18-01-24;26-01-24;Dividendos;0.92
PBLV11;19-01-24;29-01-24;Dividendos;42.81
BDIV11;22-01-24;29-01-24;Dividendos;8.00
CNES11;23-01-24;30-01-24;Dividendos;0.07
BTSI11;24-01-24;31-01-24;Dividendos;0.74
GZIT11;24-01-24;31-01-24;Dividendos;0.63
EDGA11;24-01-24;31-01-24;Dividendos;0.07
MFCR11;24-01-24;30-01-24;Amortização;75.40
BTRA11;24-01-24;31-01-24;Dividendos;0.30
BTRA11;25-01-24;23-02-24;Amortização;1.49
ELDO11B;25-01-24;02-02-24;Dividendos;1.99
RBRS11;25-01-24;02-02-24;Dividendos;0.07
BVAR11;25-01-24;02-02-24;Dividendos;18.50
LFTT11;30-01-24;16-02-24;Amortização;2.03
MGFF11;30-01-24;07-02-24;Amortização;4.26
LFTT11;30-01-24;16-02-24;Amortização;2.15
PVBI11;31-01-24;07-02-24;Dividendos;0.70
LUGG11;31-01-24;16-02-24;Dividendos;0.52
CACR11;31-01-24;08-02-24;Dividendos;1.35
NSLU11;31-01-24;07-02-24;Dividendos;1.55
EVBI11;31-01-24;07-02-24;Dividendos;0.75
HGFF11;31-01-24;16-02-24;Dividendos;0.70
HPDP11;31-01-24;16-02-24;Dividendos;0.53
XPCI11;31-01-24;16-02-24;Dividendos;0.90
PQAG11;31-01-24;16-02-24;Dividendos;0.45
HLOG11;31-01-24;16-02-24;Dividendos;0.46
ITIP11;31-01-24;16-02-24;Dividendos;0.64
HAAA11;31-01-24;16-02-24;Dividendos;0.24
VRTM11;31-01-24;15-02-24;Dividendos;0.08
SEED11;31-01-24;16-02-24;Dividendos;1.15
WHGR11;31-01-24;16-02-24;Dividendos;0.10
NVIF11;31-01-24;16-02-24;Dividendos;0.89
CYCR11;31-01-24;16-02-24;Dividendos;0.10
SADI11;31-01-24;16-02-24;Dividendos;0.98
HBCR11;31-01-24;16-02-24;Dividendos;0.46
BLMO11;31-01-24;16-02-24;Dividendos;0.44
CJCT11;31-01-24;16-02-24;Dividendos;0.09
CXAG11;31-01-24;20-02-24;Dividendos;0.69
XPSF11;31-01-24;16-02-24;Dividendos;0.08
EDFO11B;31-01-24;09-02-24;Dividendos;1.70
PEMA11;31-01-24;16-02-24;Dividendos;0.72
JPPA11;31-01-24;16-02-24;Dividendos;0.98
KNCA11;31-01-24;15-02-24;Dividendos;1.15
PLCA11;31-01-24;16-02-24;Dividendos;0.97
RZAG11;31-01-24;16-02-24;Dividendos;0.11
LSAG11;31-01-24;16-02-24;Dividendos;1.50
RURA11;31-01-24;07-02-24;Dividendos;0.11
VCRA11;31-01-24;15-02-24;Dividendos;1.16
AAZQ11;31-01-24;16-02-24;Dividendos;0.12
XPCA11;31-01-24;16-02-24;Dividendos;0.11
ZAVI11;31-01-24;09-02-24;Dividendos;1.32
XPPR11;31-01-24;16-02-24;Dividendos;0.07
JURO11;31-01-24;16-02-24;Dividendos;1.00
CDII11;31-01-24;16-02-24;Dividendos;1.22
SHPH11;31-01-24;15-02-24;Dividendos;4.30
BBIM11;31-01-24;16-02-24;Dividendos;0.02
AIEC11;31-01-24;08-02-24;Dividendos;0.17
AROA11;31-01-24;07-02-24;Dividendos;0.01
ITIT11;31-01-24;16-02-24;Dividendos;0.68
IAAG11;31-01-24;16-02-24;Dividendos;0.11
IAGR11;31-01-24;16-02-24;Dividendos;0.05
KNUQ11;31-01-24;14-02-24;Dividendos;1.16
JSAF11;31-01-24;16-02-24;Dividendos;1.00
LVBI11;31-01-24;07-02-24;Dividendos;1.05
RBVA11;31-01-24;15-02-24;Dividendos;1.00
BTWR11;31-01-24;16-02-24;Dividendos;0.57
PMLL11;31-01-24;16-02-24;Dividendos;0.92
BTML11;31-01-24;14-02-24;Dividendos;0.80
CXCE11;31-01-24;15-02-24;Dividendos;0.42
BBFI11;31-01-24;15-02-24;Dividendos;8.10
VVMR11;31-01-24;16-02-24;Dividendos;0.50
ARXD11;31-01-24;16-02-24;Dividendos;1.00
SAPI11;31-01-24;16-02-24;Dividendos;0.80
EDFO11;31-01-24;09-02-24;Dividendos;1.70
OCRE11;31-01-24;07-02-24;Dividendos;1.16
FINF11;31-01-24;16-02-24;Dividendos;0.28
PMIS11;31-01-24;16-02-24;Dividendos;0.10
PULV11;31-01-24;16-02-24;Dividendos;0.06
PNCR11;31-01-24;16-02-24;Dividendos;0.96
VPPR11;31-01-24;16-02-24;Dividendos;0.07
VSHO11;31-01-24;10-02-24;Dividendos;0.65
FIIP11;31-01-24;16-02-24;Dividendos;1.44
HGRS11;31-01-24;07-02-24;Dividendos;8.30
HGRS11;31-01-24;07-02-24;Amortização;29.32
MINT11;31-01-24;07-02-24;Dividendos;3.36
CPUR11;31-01-24;07-02-24;Dividendos;0.75
INRD11;31-01-24;16-02-24;Dividendos;0.52
INLG11;31-01-24;16-02-24;Dividendos;0.72
PNRC11;31-01-24;16-02-24;Dividendos;1.10
MFCR11;31-01-24;16-02-24;Dividendos;0.29
GARE11;31-01-24;07-02-24;Dividendos;0.08
KORE11;31-01-24;16-02-24;Dividendos;1.25
XPID11;31-01-24;16-02-24;Dividendos;1.05
IFRA11;31-01-24;07-02-24;Dividendos;1.09
HUSI11;31-01-24;16-02-24;Dividendos;7.75
FIIP11B;31-01-24;16-02-24;Dividendos;1.44
BBFI11B;31-01-24;15-02-24;Dividendos;8.10
TSER11;31-01-24;16-02-24;Dividendos;0.94
LSPA11;31-01-24;16-02-24;Dividendos;3.46
BRIM11;31-01-24;16-02-24;Dividendos;63.42
SPAF11;31-01-24;07-02-24;Dividendos;11.30
KEVE11;31-01-24;16-02-24;Amortização;10.16
RBIF11;31-01-24;23-02-24;Dividendos;0.93
XPIE11;31-01-24;08-02-24;Dividendos;0.50
OGIN11;31-01-24;07-02-24;Dividendos;0.13
PICE11;31-01-24;07-02-24;Amortização;0.30
CPTI11;31-01-24;16-02-24;Dividendos;1.15
TMPS11;31-01-24;14-02-24;Dividendos;0.95
BTSG11;31-01-24;16-02-24;Dividendos;0.90
CXCE11B;31-01-24;15-02-24;Dividendos;0.42
BRZP11;31-01-24;09-02-24;Amortização;0.47
BODB11;31-01-24;07-02-24;Dividendos;0.10
KDIF11;31-01-24;07-02-24;Dividendos;1.10
XPIE11;31-01-24;08-02-24;Amortização;0.50
BICE11;31-01-24;07-02-24;Dividendos;16.04
RINV11;31-01-24;16-02-24;Dividendos;1.10
HCHG11;31-01-24;16-02-24;Dividendos;0.79
VCRI11;31-01-24;16-02-24;Dividendos;0.09
RBRD11;31-01-24;16-02-24;Dividendos;0.34
HTMX11;31-01-24;07-02-24;Dividendos;0.86
RBFF11;31-01-24;15-02-24;Dividendos;0.50
VIFI11;31-01-24;16-02-24;Dividendos;0.08
STRX11;31-01-24;07-02-24;Dividendos;1.27
BCIA11;31-01-24;29-02-24;Dividendos;0.85
RBVO11;31-01-24;08-02-24;Amortização;1.20
VIUR11;31-01-24;16-02-24;Dividendos;0.07
RBVO11;31-01-24;08-02-24;Dividendos;0.41
TRBL11;31-01-24;15-02-24;Dividendos;0.85
VISC11;31-01-24;16-02-24;Dividendos;1.00
VILG11;31-01-24;16-02-24;Dividendos;0.60
GTWR11;31-01-24;16-02-24;Dividendos;0.79
CXCO11;31-01-24;19-02-24;Dividendos;0.76
HOSI11;31-01-24;07-02-24;Dividendos;1.13
RNDP11;31-01-24;16-02-24;Dividendos;0.83
HUSC11;31-01-24;15-02-24;Dividendos;0.85
BBRC11;31-01-24;16-02-24;Dividendos;1.10
VTLT11;31-01-24;08-02-24;Dividendos;0.93
RBED11;31-01-24;15-02-24;Dividendos;1.33
LGCP11;31-01-24;16-02-24;Dividendos;0.72
RNGO11;31-01-24;15-02-24;Dividendos;0.38
FVPQ11;31-01-24;08-02-24;Dividendos;1.10
PQDP11;31-01-24;20-02-24;Dividendos;15.24
ABCP11;31-01-24;07-02-24;Dividendos;0.82
LASC11;31-01-24;07-02-24;Dividendos;0.71
VINO11;31-01-24;16-02-24;Dividendos;0.06
RBHG11;31-01-24;16-02-24;Dividendos;0.90
FIIB11;31-01-24;09-02-24;Dividendos;3.45
BBFO11;31-01-24;16-02-24;Dividendos;0.68
TEPP11;31-01-24;16-02-24;Dividendos;0.64
TRXF11;31-01-24;16-02-24;Dividendos;0.90
HSRE11;31-01-24;16-02-24;Dividendos;0.60
HSLG11;31-01-24;16-02-24;Dividendos;0.74
TVRI11;31-01-24;16-02-24;Dividendos;0.97
EURO11;31-01-24;15-02-24;Dividendos;1.88
BCRI11;31-01-24;15-02-24;Dividendos;0.79
MFAI11;31-01-24;16-02-24;Dividendos;0.57
MFII11;31-01-24;16-02-24;Dividendos;1.20
RFOF11;31-01-24;16-02-24;Dividendos;0.74
HSAF11;31-01-24;07-02-24;Dividendos;0.85
APTO11;31-01-24;22-02-24;Dividendos;0.09
PORD11;31-01-24;07-02-24;Dividendos;0.99
GALG11;31-01-24;07-02-24;Dividendos;0.08
BBGO11;31-01-24;16-02-24;Dividendos;0.95
IDFI11;31-01-24;07-01-24;Dividendos;0.19
HBRH11;31-01-24;16-02-24;Dividendos;0.50
VCRR11;31-01-24;16-02-24;Dividendos;0.70
RBHY11;31-01-24;16-02-24;Dividendos;1.00
TRXB11;31-01-24;16-02-24;Dividendos;0.95
CXTL11;31-01-24;15-02-24;Dividendos;2.26
RRCI11;31-01-24;16-02-24;Dividendos;0.90
PLRI11;31-01-24;07-02-24;Dividendos;0.06
RMAI11;31-01-24;09-02-24;Dividendos;0.33
LIFE11;31-01-24;07-02-24;Dividendos;0.12
VOTS11;31-01-24;16-02-24;Dividendos;0.90
NEWL11;31-01-24;16-02-24;Dividendos;0.95
OUJP11;31-01-24;16-02-24;Dividendos;0.91
VCJR11;31-01-24;15-02-24;Dividendos;0.97
HGCR11;31-01-24;16-02-24;Dividendos;0.95
HGRE11;31-01-24;16-02-24;Dividendos;0.78
HGLG11;31-01-24;16-02-24;Dividendos;1.10
RPRI11;31-01-24;15-02-24;Dividendos;1.05
BPFF11;31-01-24;07-02-24;Dividendos;0.62
KNSC11;31-01-24;15-02-24;Dividendos;0.08
RZTR11;31-01-24;07-02-24;Dividendos;0.85
KNHY11;31-01-24;15-02-24;Dividendos;1.20
HGRU11;31-01-24;16-02-24;Dividendos;0.85
NEWU11;31-01-24;16-02-24;Dividendos;0.10
NVHO11;31-01-24;08-02-24;Dividendos;0.08
VSHO11;31-01-24;08-02-24;Dividendos;0.72
PATL11;31-01-24;08-02-24;Dividendos;0.60
PATC11;31-01-24;07-02-24;Dividendos;0.34
BARI11;31-01-24;23-02-24;Dividendos;0.96
MANA11;31-01-24;23-02-24;Dividendos;0.10
URPR11;31-01-24;16-02-24;Dividendos;1.10
TGAR11;31-01-24;16-02-24;Dividendos;1.32
BRCO11;31-01-24;16-02-24;Dividendos;0.87
KCRE11;31-01-24;15-02-24;Dividendos;0.90
GLOG11;31-01-24;16-02-24;Dividendos;0.63
SPTW11;31-01-24;07-02-24;Dividendos;0.44
HGPO11;31-01-24;16-02-24;Dividendos;1.50
KNIP11;31-01-24;15-02-24;Dividendos;0.86
KNRI11;31-01-24;16-02-24;Dividendos;1.00
XPLG11;31-01-24;16-02-24;Dividendos;0.78
MXRF11;31-01-24;16-02-24;Dividendos;0.10
JSRE11;31-01-24;16-02-24;Dividendos;0.46
SARE11;31-01-24;16-02-24;Dividendos;0.40
VGHF11;31-01-24;07-02-24;Dividendos;0.10
ARRI11;31-01-24;07-02-24;Dividendos;0.10
HSML11;31-01-24;07-02-24;Dividendos;0.76
VRTA11;31-01-24;15-02-24;Dividendos;0.80
KISU11;31-01-24;16-02-24;Dividendos;0.08
BNFS11;31-01-24;15-02-24;Dividendos;1.35
KIVO11;31-01-24;16-02-24;Dividendos;1.05
HGAG11;31-01-24;07-02-24;Dividendos;0.16
HABT11;31-01-24;09-02-24;Dividendos;1.00
MALL11;31-01-24;16-02-24;Dividendos;0.92
JFLL11;31-01-24;16-02-24;Dividendos;0.62
CBOP11;31-01-24;16-02-24;Dividendos;0.12
FLRP11;31-01-24;16-02-24;Dividendos;14.00
WPLZ11;31-01-24;16-02-24;Dividendos;0.41
HREC11;31-01-24;16-02-24;Dividendos;0.08
FIGS11;31-01-24;16-02-24;Dividendos;0.43
KNHF11;31-01-24;14-02-24;Dividendos;0.85
KFOF11;31-01-24;16-02-24;Dividendos;0.80
KNCR11;31-01-24;15-02-24;Dividendos;1.07
HGBS11;31-01-24;16-02-24;Dividendos;1.75
HFOF11;31-01-24;16-02-24;Dividendos;0.63
PLCR11;31-01-24;16-02-24;Dividendos;0.80
JGPX11;31-01-24;14-02-24;Dividendos;1.25
CXRI11;01-02-24;14-02-24;Dividendos;0.58
BLCA11;01-02-24;06-03-24;Amortização;4.70
ELDO11B;01-02-24;09-02-24;Dividendos;0.19
BIDB11;01-02-24;16-02-24;Dividendos;1.10
GGRC11;01-02-24;08-02-24;Dividendos;0.90
QAGR11;01-02-24;08-02-24;Dividendos;0.44
RBLG11;01-02-24;08-02-24;Dividendos;0.95
CRFF11;01-02-24;14-02-24;Dividendos;0.61
HGIC11;02-02-24;14-02-24;Dividendos;0.82
EGAF11;02-02-24;09-02-24;Dividendos;1.28
PNCR11;02-02-24;09-02-24;Amortização;1.68
RTEL11;02-02-24;14-02-24;Dividendos;2.89
FTCE11B;05-02-24;29-02-24;Dividendos;59.06
BTHI11;05-02-24;15-02-24;Dividendos;0.28
NCRI11;06-02-24;16-02-24;Dividendos;0.10
FPNG11;06-02-24;16-02-24;Dividendos;0.49
TCPF11;06-02-24;16-02-24;Dividendos;2.84
FISC11;06-02-24;16-02-24;Dividendos;0.30
LPLP11;06-02-24;15-02-24;Amortização;15.94
LPLP11;06-02-24;15-02-24;Dividendos;6.27
FATN11;06-02-24;16-02-24;Dividendos;0.85
SCPF11;06-02-24;16-02-24;Dividendos;0.05
FLMA11;06-02-24;16-02-24;Dividendos;0.87
FPAB11;06-02-24;15-02-24;Dividendos;0.90
RCRB11;06-02-24;15-02-24;Dividendos;0.93
RBOP11;06-02-24;15-02-24;Dividendos;2.90
BIME11;06-02-24;16-02-24;Dividendos;0.08
BRCR11;07-02-24;16-02-24;Dividendos;0.41
BCFF11;07-02-24;16-02-24;Dividendos;0.07
RBRR11;07-02-24;16-02-24;Dividendos;0.80
RBRP11;07-02-24;16-02-24;Dividendos;0.33
XPIN11;07-02-24;16-02-24;Dividendos;0.59
DEVA11;07-02-24;16-02-24;Dividendos;0.62
FYTO11;07-02-24;16-02-24;Dividendos;0.10
RBRL11;07-02-24;16-02-24;Dividendos;0.65
BTCI11;07-02-24;16-02-24;Dividendos;0.09
BTAG11;07-02-24;16-02-24;Dividendos;1.20
CRAA11;07-02-24;16-02-24;Dividendos;1.20
MGRI11;07-02-24;16-02-24;Dividendos;1.33
NEXG11;07-02-24;16-02-24;Dividendos;0.70
NUIF11;07-02-24;16-02-24;Dividendos;1.10
DPRO11;07-02-24;15-02-24;Dividendos;0.05
BPRP11;07-02-24;16-02-24;Dividendos;0.93
BRIP11;07-02-24;16-02-24;Dividendos;11.60
DRIT11;07-02-24;15-02-24;Dividendos;0.26
GRWA11;07-02-24;16-02-24;Dividendos;0.14
AJFI11;07-02-24;23-02-24;Dividendos;0.08
WSEC11;07-02-24;16-02-24;Dividendos;0.92
FGAA11;07-02-24;16-02-24;Dividendos;0.11
BLMG11;07-02-24;16-02-24;Dividendos;0.44
RECR11;07-02-24;16-02-24;Dividendos;0.81
GCRA11;07-02-24;16-02-24;Dividendos;0.95
NCHB11;07-02-24;16-02-24;Dividendos;0.10
RECT11;07-02-24;16-02-24;Dividendos;0.40
FLCR11;07-02-24;16-02-24;Dividendos;1.10
OIAG11;07-02-24;16-02-24;Dividendos;0.11
ERPA11;07-02-24;16-02-24;Dividendos;0.72
DLMT11;07-02-24;15-02-24;Dividendos;0.01
CEOC11;07-02-24;16-02-24;Dividendos;0.43
SEQR11;07-02-24;16-02-24;Dividendos;0.70
AGRX11;07-02-24;16-02-24;Dividendos;0.14
DCRA11;07-02-24;15-02-24;Dividendos;0.10
CXCI11;07-02-24;16-02-24;Dividendos;0.75
DVFF11;07-02-24;15-02-24;Dividendos;0.07
SPXS11;07-02-24;16-02-24;Dividendos;0.09
VSLH11;07-02-24;16-02-24;Dividendos;0.04
BMLC11;07-02-24;16-02-24;Dividendos;0.73
MAXR11;07-02-24;16-02-24;Dividendos;0.78
FAED11;07-02-24;16-02-24;Dividendos;1.48
RELG11;07-02-24;16-02-24;Dividendos;0.18
CLIN11;08-02-24;19-02-24;Dividendos;1.01
SHDP11B;08-02-24;20-02-24;Dividendos;9.21
CCME11;08-02-24;19-02-24;Dividendos;0.90
BLCA11;08-02-24;19-02-24;Dividendos;0.49
CPFF11;08-02-24;20-02-24;Dividendos;0.70
CVBI11;08-02-24;19-02-24;Dividendos;1.05
DOVL11B;08-02-24;20-02-24;Dividendos;6.90
RVBI11;08-02-24;19-02-24;Dividendos;0.75
BLUR11;09-02-24;20-02-24;Dividendos;0.65
RZZR11;09-02-24;20-02-24;Dividendos;1.12
GAME11;09-02-24;23-02-24;Dividendos;0.09
IRIM11;09-02-24;20-02-24;Dividendos;0.77
IRDM11;09-02-24;20-02-24;Dividendos;0.75
RBRY11;09-02-24;20-02-24;Dividendos;1.05
HCRI11;09-02-24;20-02-24;Dividendos;2.63
BRLA11;09-02-24;20-02-24;Dividendos;1.12
IBCR11;09-02-24;20-02-24;Dividendos;1.00
TRNT11;09-02-24;20-02-24;Dividendos;0.19
RBRF11;09-02-24;20-02-24;Dividendos;0.06
HCTR11;09-02-24;20-02-24;Dividendos;0.34
VGIA11;14-02-24;21-02-24;Dividendos;0.09
CPTS11;14-02-24;21-02-24;Dividendos;0.07
MCCI11;14-02-24;21-02-24;Dividendos;0.80
VGIR11;14-02-24;21-02-24;Dividendos;0.11
CPTR11;14-02-24;21-02-24;Dividendos;0.11
VGIP11;14-02-24;21-02-24;Dividendos;0.80
MGHT11;14-02-24;21-02-24;Dividendos;0.51
MCHF11;14-02-24;21-02-24;Dividendos;0.07
SNAG11;15-02-24;23-02-24;Dividendos;0.11
KOPA11;15-02-24;22-02-24;Dividendos;10.57
VICA11;15-02-24;16-02-24;Dividendos;0.11
SNID11;15-02-24;23-02-24;Dividendos;1.15
AFHI11;15-02-24;23-02-24;Dividendos;0.95
NAVT11;15-02-24;22-02-24;Dividendos;1.00
SNCI11;15-02-24;23-02-24;Dividendos;0.90
SNFF11;15-02-24;23-02-24;Dividendos;0.69
SNME11;15-02-24;23-02-24;Dividendos;0.12
GCRI11;15-02-24;22-02-24;Dividendos;0.95
SNEL11;15-02-24;23-02-24;Dividendos;1.55
BVAR11;15-02-24;23-02-24;Dividendos;2.80
BTLG11;15-02-24;23-02-24;Dividendos;0.78
AZIN11;16-02-24;23-02-24;Dividendos;1.20
OUFF11;16-02-24;23-02-24;Dividendos;0.60
BDIF11;16-02-24;23-02-24;Dividendos;1.00
RZAK11;16-02-24;23-02-24;Dividendos;1.15
JASC11;16-02-24;23-02-24;Dividendos;0.56
ELDO11B;16-02-24;26-02-24;Dividendos;6.97
WTSP11B;16-02-24;23-02-24;Dividendos;0.30
RBRX11;16-02-24;26-02-24;Dividendos;0.09
BPML11;16-02-24;23-02-24;Dividendos;0.91
ALZR11;16-02-24;23-02-24;Dividendos;0.80
RZAT11;16-02-24;23-02-24;Dividendos;1.12
RECX11;16-02-24;23-02-24;Dividendos;0.60
ALZM11;16-02-24;23-02-24;Dividendos;0.09
OURE11;16-02-24;23-02-24;Dividendos;0.85
