TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BMIN4;16,80;8,33;9,06;0,57;0,13;25,17;27,33;16,16;5,36;7,04;;;1,46;45,39;-0,13;;6,28;1,46;;0,23;0,77;0,09;24,69;32,07;6.620,43;29,53;1,85;0,42;106.535.562,83
BNBR3;97,00;6,16;3,54;0,65;0,13;45,86;50,57;29,88;2,09;2,09;;;1,06;2,89;-0,13;;18,25;3,64;;0,20;0,80;0,12;8,63;9,28;29.250,77;150,25;27,42;0,15;9.573.875.653,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;1,98;4.212.250.617,75
BPAC11;47,32;2,23;14,39;2,71;0,28;43,02;42,32;35,02;11,91;11,91;;;5,04;-0,38;-0,28;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;314.655.444,10;17,43;3,29;0,83;181.489.864.997,65
BPAC3;25,69;1,37;23,43;4,42;0,45;43,02;42,32;35,02;19,39;11,91;;;8,21;-0,62;-0,45;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;67.907,71;5,81;1,10;1,36;181.489.864.997,65
BPAC5;10,94;3,22;9,98;1,88;0,19;43,02;42,32;35,02;8,26;11,91;;;3,49;-0,26;-0,19;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;20.989,38;5,81;1,10;0,58;181.489.864.997,65
BPAN4;8,02;3,01;25,42;1,35;0,15;40,14;0,30;2,73;230,18;230,18;;;0,69;-112,88;-0,15;0,02;5,33;0,60;;0,11;0,89;0,22;10,77;-8,43;6.646.435,24;5,92;0,32;-0,74;10.177.942.121,80
BPAR3;117,42;10,42;3,81;0,50;0,06;50,96;11,97;8,37;2,66;2,66;;;0,32;4,03;-0,06;;13,14;1,51;;0,11;0,89;0,18;14,76;-1,95;0,00;234,80;30,85;-0,19;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BRBI11;18,00;11,50;10,47;2,34;0,12;100,00;3,91;51,30;137,43;44,63;-92,80;-1,58;5,37;2,86;-12,86;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;2.918.026,86;7,69;1,72;-4,69;1.889.922.672,00
BRBI3;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;44,63;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.889.922.672,00
BRBI4;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;44,63;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.889.922.672,00
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
BRIV4;12,54;;379,07;0,65;0,04;12,70;-0,94;0,09;-36,47;-37,03;;;0,34;2,14;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,89;1.128.165.604,64
BRML3;8,26;;12,55;0,57;0,34;88,79;65,47;33,24;6,37;8,29;1,92;0,17;4,17;7,22;-0,37;2,20;4,52;2,70;6,68;0,60;0,40;0,08;4,55;-15,42;;14,57;0,66;-0,16;6.770.891.280,44
BRPR3;131,17;;-0,56;0,05;0,04;100,00;-336,36;-123,98;-0,21;0,06;0,27;-0,07;0,70;1,73;-0,05;1,12;-9,55;-6,86;-31,25;0,72;0,28;0,06;-7,12;;;2.447,95;-233,75;0,01;60.919.545,44
BRSR3;13,03;9,53;5,74;0,49;0,03;31,32;5,59;4,93;5,05;4,81;;;0,28;3,01;-0,03;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;59.384,10;26,49;2,27;-1,41;5.078.128.583,03
BRSR5;15,98;7,80;7,03;0,60;0,04;31,32;5,59;4,93;6,19;4,81;;;0,35;3,69;-0,04;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;3.195,00;26,49;2,27;-1,73;5.078.128.583,03
BRSR6;11,80;10,52;5,19;0,45;0,03;31,32;5,59;4,93;4,57;4,81;;;0,26;2,73;-0,03;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;16.940.399,00;26,49;2,27;-1,28;5.078.128.583,03
BSLI3;9,20;4,49;5,54;1,12;0,06;35,96;11,12;7,43;3,70;3,74;;;0,41;-2,27;-0,06;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;82.661,52;8,20;1,66;0,00;4.522.683.984,50
BSLI4;9,50;4,78;5,72;1,16;0,06;35,96;11,12;7,43;3,82;3,74;;;0,42;-2,35;-0,06;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;32.685,50;8,20;1,66;0,00;4.522.683.984,50
BTTL4;11.091,73;;33.400,08;4.031,14;2.904,64;19,76;-119,83;169,30;-47.188,49;-18,63;0,86;-0,07;56.545,25;37.165,59;-3.276,80;3,21;12,07;8,70;-24,67;0,72;0,28;0,05;-44,69;-12,59;;2,75;0,33;-213,24;68.061.401,44
CCXC3;1,16;;-0,25;-0,03;2,34;;;;-3,26;-3,21;0,05;;;-0,03;;0,01;-10,66;-946,44;0,81;-88,75;89,75;0,00;;;;-43,93;-4,68;0,00;1.973.425,64
CIEL3;5,83;;12,97;1,60;0,14;41,12;18,60;11,57;8,06;12,69;4,63;0,92;1,50;1,60;-1,51;1,11;12,31;1,11;3,73;0,09;0,88;0,10;-1,94;-4,62;0,00;3,65;0,45;-0,39;15.839.031.805,63
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CORR3;2,71;;0,01;0,01;0,00;100,00;2.560,96;2.141,14;0,01;-1,26;-1,41;-2,58;0,19;0,01;-0,02;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CORR4;82,00;;0,27;0,41;0,12;100,00;2.560,96;2.141,14;0,22;-1,26;-1,41;-2,58;5,70;0,20;-0,48;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CRIV3;6,98;;35,10;0,66;0,04;20,26;0,43;0,99;81,37;80,16;;;0,35;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,75;707.929.532,00
CRIV4;6,74;;33,89;0,64;0,04;20,26;0,43;0,99;78,57;80,16;;;0,33;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,72;707.929.532,00
CSAB3;30,50;;12,39;1,11;0,57;-124,00;1.656,27;2.521,73;18,86;24,57;;;312,32;3,54;-0,71;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,02;305.164.800,00
CSAB4;48,97;;19,89;1,78;0,91;-124,00;1.656,27;2.521,73;30,28;24,57;;;501,45;5,68;-1,15;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,03;305.164.800,00
CXSE3;14,47;8,11;10,01;3,26;3,01;;;;9,15;8,91;-0,23;-0,08;;68,11;-3,42;1,59;32,52;30,05;30,60;0,92;0,08;0,00;;23,06;62.012.900,95;4,44;1,44;0,37;43.410.000.000,00
EPAR3;4,58;40,12;13,79;1,66;1,20;19,76;-119,83;169,30;-19,49;-18,63;0,86;-0,07;23,35;15,35;-1,35;3,21;12,07;8,70;-24,67;0,72;0,28;0,05;-44,69;-12,59;28.350,62;2,75;0,33;-0,09;68.061.401,44
FICT3;3,16;;-3,15;-7,67;14,51;94,10;23,53;121,30;-16,23;-17,17;-0,94;;;-65,13;-17,15;0,41;-243,57;-460,83;1.174,00;-1,89;2,89;-3,80;;;55.769,67;-0,41;-1,00;0,01;75.223.477,68
FIGE3;11,94;;2,13;0,16;0,15;100,00;92,61;63,32;1,46;0,49;;;1,35;14.112,70;-0,15;;7,41;7,23;;0,97;0,03;0,11;6,80;11,25;0,00;75,50;5,60;0,11;9.457.960,56
FIGE4;0,00;;0,00;0,00;0,00;100,00;92,61;63,32;0,00;0,49;;;0,00;0,00;0,00;;7,41;7,23;;0,97;0,03;0,11;6,80;11,25;;75,50;5,60;0,00;9.457.960,56
FNCN3;14,25;;-0,04;0,03;0,00;-82,62;-98,66;-59,20;-0,02;-0,02;;;0,02;0,01;-0,02;1,56;-65,31;-10,62;;0,16;0,84;0,18;187,45;;;555,08;-362,52;0,00;13.021.336,50
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;1,72;;-7,75;0,26;0,25;100,00;312,74;381,68;-9,45;-11,42;-1,97;0,06;;-5,93;-0,25;0,12;-3,41;-3,20;-2,64;0,94;0,06;-0,01;;;42.901,67;6,50;-0,22;0,09;197.896.987,36
GETT11;10,00;;31,44;5,16;0,34;41,43;18,41;17,71;30,25;;0,99;0,17;5,57;13,05;-8,16;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;0,00;1,94;0,32;0,47;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,11;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,11;
GPIV33;4,42;;-2,31;0,23;0,12;100,00;346,80;157,05;-1,04;0,25;1,29;-0,28;;0,89;-0,15;3,34;-9,85;-5,19;-13,20;0,53;0,14;-0,03;;;308.564,00;19,47;-1,92;0,01;299.388.200,54
GSHP3;2,89;;-0,02;0,00;0,00;67,17;-47,19;-147,93;-0,06;-23,79;-23,72;;0,03;-0,11;-0,01;0,76;-20,54;-23,62;-13,47;-1,15;2,15;0,16;5,33;;2.351,11;-694,10;-142,56;0,00;5.574.142,41
HBRE3;4,99;;23,56;0,26;0,10;68,54;144,64;11,20;1,82;6,98;5,16;0,73;2,64;1,96;-0,11;1,87;1,09;0,42;5,77;0,39;0,44;0,04;19,12;-35,38;2.321.086,05;19,45;0,21;-0,29;514.913.015,19
HBTS3;0,00;;0,00;0,00;0,00;26,86;24,34;41,66;0,00;;12,17;0,35;0,00;0,00;0,00;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;;72,20;3,54;0,00;
HBTS5;30,05;;8,50;0,42;0,16;26,86;24,34;41,66;14,54;;12,17;0,35;3,54;11,30;-0,18;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;4.671,75;72,20;3,54;-0,10;
HBTS6;0,00;;0,00;0,00;0,00;26,86;24,34;41,66;0,00;;12,17;0,35;0,00;0,00;0,00;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;;72,20;3,54;0,00;
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;;-520,56;312,87;0,00;220.074.791,04
IGTA3;33,00;;10,17;1,34;0,82;68,87;74,23;47,67;6,53;7,28;0,75;0,15;4,85;3,24;-1,19;5,84;13,20;8,09;11,02;0,61;0,39;0,17;7,14;11,55;;24,60;3,25;0,17;5.444.845.626,00
IGTI11;24,16;2,79;17,38;2,15;1,00;72,07;74,54;40,96;9,55;8,62;2,34;0,53;7,12;4,69;-1,41;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;47.377.267,00;11,23;1,39;0,26;6.380.874.164,80
IGTI3;2,94;3,28;6,35;0,79;0,36;72,07;74,54;40,96;3,49;8,62;2,34;0,53;2,60;1,71;-0,52;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;117.966,10;3,74;0,46;0,10;6.380.874.164,80
IGTI4;10,49;2,76;22,64;2,80;1,30;72,07;74,54;40,96;12,44;8,62;2,34;0,53;9,27;6,11;-1,84;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;314.543,25;3,74;0,46;0,34;6.380.874.164,80
IRBR3;48,70;;6,48;0,77;0,25;13,59;13,68;10,39;4,92;4,92;;;0,67;2,44;-0,40;1,39;11,82;3,90;;0,33;0,67;0,38;-1,73;-12,65;29.114.613,29;63,63;7,52;0,10;3.985.748.548,20
ITSA3;11,38;8,83;8,06;1,40;1,10;25,32;206,48;186,37;7,28;7,52;0,24;0,05;15,02;19,21;-1,24;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;1.498.616,19;8,15;1,41;0,95;125.181.722.384,26
ITSA4;11,39;8,82;8,07;1,40;1,10;25,32;206,48;186,37;7,28;7,52;0,24;0,05;15,04;19,23;-1,24;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;200.753.465,38;8,15;1,41;0,96;125.181.722.384,26
ITUB3;34,55;8,12;8,70;1,79;0,13;36,48;12,35;11,60;8,17;8,67;;;1,01;-1,53;-0,13;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;18.655.017,24;19,34;3,97;0,55;395.686.923.590,69
ITUB4;38,88;7,23;9,79;2,01;0,15;36,48;12,35;11,60;9,19;8,67;;;1,14;-1,72;-0,15;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;630.866.685,57;19,34;3,97;0,62;395.686.923.590,69
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LOGG3;22,64;9,68;5,38;0,53;0,28;97,69;232,52;161,21;3,73;7,65;3,92;0,56;8,68;3,19;-0,35;1,70;9,88;5,16;7,94;0,52;0,48;0,03;11,41;32,59;6.785.628,33;42,57;4,21;0,14;1.989.131.246,56
LPSB3;1,38;4,74;7,11;0,84;0,50;79,51;22,15;13,73;4,41;2,88;-1,53;-0,29;0,98;3,75;-0,72;1,83;11,81;7,10;12,53;0,60;0,42;0,52;5,45;;166.822,19;1,64;0,19;0,41;203.625.390,78
MAPT3;3,01;;-22,86;-0,43;3,58;;;;-23,05;-27,07;0,00;;;-276,59;-3,58;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;301,00;-7,08;-0,13;0,73;3.248.891,55
MAPT4;4,05;;-30,76;-0,57;4,81;;;;-31,01;-27,07;0,00;;;-372,15;-4,81;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;1.810,57;-7,08;-0,13;0,98;3.248.891,55
MERC3;14,80;;18,14;1,03;0,97;84,46;49,78;30,61;11,15;9,51;;;5,55;20,73;-1,02;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;0,00;14,40;0,82;0,11;517.082.194,90
MERC4;9,50;;11,64;0,66;0,62;84,46;49,78;30,61;7,16;9,51;;;3,56;13,31;-0,65;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;950,00;14,40;0,82;0,07;517.082.194,90
MOAR3;111,00;45,22;-63,96;1,52;0,67;;;;-9,77;-6,80;2,97;-0,46;;1,54;-1,66;3,68;-2,38;-1,05;-19,70;0,44;0,56;0,00;;;47.089,91;73,01;-1,74;0,60;1.359.885.531,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;-0,63;-0,30;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;-0,69;-0,32;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;-0,61;-0,29;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MULT3;28,90;3,86;11,49;2,51;1,20;81,08;66,12;47,77;8,30;10,76;2,45;0,74;5,49;34,83;-1,41;1,31;21,85;10,48;14,52;0,48;0,52;0,22;14,28;22,33;71.711.469,71;11,51;2,51;0,73;14.830.430.958,90
NEXP3;3,45;;0,11;-0,17;0,31;45,17;91,83;70,38;0,08;0,04;-0,04;;0,08;-0,36;-0,66;0,39;-155,40;284,68;-197,02;-1,83;2,82;4,04;-3,43;;2.111,75;-20,51;31,88;0,00;9.161.713,05
PDTC3;1,04;;8,22;0,70;0,13;76,76;75,08;53,67;5,88;22,89;17,01;2,03;4,41;0,33;-0,32;2,80;8,52;1,56;3,21;0,18;0,82;0,03;;13,07;51.106,67;1,48;0,13;-0,02;82.648.411,04
PEAB3;35,70;2,28;17,25;0,74;0,52;56,77;33,27;36,01;18,67;17,61;-0,88;-0,03;6,21;3,29;-0,65;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;5.930,00;48,11;2,07;0,21;668.427.573,10
PEAB4;35,00;2,52;16,91;0,73;0,51;56,77;33,27;36,01;18,31;17,61;-0,88;-0,03;6,09;3,22;-0,63;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;25.894,00;48,11;2,07;0,21;668.427.573,10
PINE3;8,44;6,19;9,97;1,64;0,07;17,65;3,53;4,58;12,93;12,98;;;0,46;-1,43;-0,07;0,39;16,48;0,67;;0,04;0,96;0,15;25,71;;18.717,20;5,13;0,85;0,56;1.920.323.678,82
